ID,가중치,수행단계,도메인,TASK,담당-메인,담당-서브,산출물
,,,,,,,,
,,,,,,,,
,,단계,,TASK,메인,서브,산출물
,,수행단계,,,,,,
,,,,,,,
1,10.00%,준비/분석,,기능 요구사항 분석 및 유스케이스 정의,공통,,기능명세서
,,,, API 명세서 작성 (외부 5종 + AI 2종),공통,,API 명세서 7종
,,,,화면 목록표 정의 (38개 화면 IA 구조),공통,,화면목록표
,,,,ERD 설계 및 테이블 관계 정의,공통,,ERD.md
,,,,외부 API 연동 조사 및 통합 명세서 작성,공통,,외부API통합명세서
,,,,WBS 작성 및 일정 수립,공통,,WBS 스프레드시트
2,15.00%,설계,,DB 스키마 확정 및 DDL 스크립트 생성,지윤,,DDL 스크립트
,,,,화면설계 - 랜딩 (비회원 CTA 소개),지윤,,L-01 랜딩화면
,,,,화면설계 - 인증 (로그인/회원가입/비밀번호찾기),지윤,,AU-01~03 인증화면
,,,,화면설계 - 농장관리 (관리/등록/종자구매),지은,,FM-01~03 농장화면
,,,,화면설계 - 밸런스 (수급 목록/상세 차트),지은,,BL-01~02 밸런스화면
,,,,화면설계 - 추천 (AI 결과/근거 상세),지은,,RC-01~02 추천화면
,,,,화면설계 - 상점 (탐색/상세/장바구니/결제),나은,,SH-01~04 상점화면
,,,,화면설계 - 커뮤니티 (목록/상세/작성),우혁,,CM-01~03 커뮤니티화면
,,,,화면설계 - 정책 (검색/필터/조회),수경,,PO-01 정책화면
,,,,화면설계 - 가게 (카카오맵 지도),수경,,ST-01 가게화면
,,,,화면설계 - 마이페이지 (프로필/주문/판매/알림),지윤,나은/우혁,MP-01~05 마이페이지화면
,,,,화면설계 - 지자체 (대시보드/통계/다운로드),수경,,GV-01~05 지자체화면
,,,,화면설계 - 관리자 (대시보드/사용자/승인/기준),현석,,AD-01~08 관리자화면
,,,,API 상세 설계 — 엔드포인트/DTO 정의 (프로그램 사양서),공통,,API 사양서
3,35.00%,구현,공통,[Infra] Docker + PostgreSQL + Redis 환경 구성,지윤,,docker-compose.yml
,,,공통,[BE] Spring Boot 초기 설정 (build.gradle 의존성),지윤,,build.gradle
,,,공통,[BE] 헥사고날 아키텍처 패키지 구조 생성 (Domain/Application/Adapter),지윤,,패키지 구조 문서
,,,공통,[BE] API 응답 틀셋 구현 (ApiResponse/ErrorCode/GlobalExceptionHandler),지윤,,ApiResponse.java
,,,공통,[BE] JWT 인증/인가 필터 구현 (SecurityConfig + JwtProvider),지윤,,SecurityConfig.java
,,,공통,[BE] OAuth2 소셜 로그인 어댑터 구현 (카카오),지윤,,OAuth2Adapter.java
,,,공통,[BE] 파일 업/다운로드 공통 모듈,지윤,나은,FileService.java
,,,공통,[FE] BFF(Next.js) 프록시 계층 구축 — API Key 은닉,지윤,,middleware.ts
,,,공통,[FE] 공통 UI 컴포넌트 (버튼/입력/테이블/모달/스켈레톤),지윤,,components/common/**
,,,공통,[Infra] Nginx 리버스 프록시 설정,지윤,,nginx.conf
,,,화면,[FE] 랜딩 + auth 도메인 (로그인/회원가입/비밀번호찾기 — 4화면),지윤,,app/auth/**
,,,화면,[FE] farm 도메인 (농장관리/등록/종자구매 — 3화면),지은,,app/farm/**
